Ano,Investimento,Folha de Pagamento,Manutenção,Operações Especiais,Total
2015,"39.013.860,00","452.449.552,00","40.778.930,00","85.172.606,00","617.414.948,00"
2016,"34.730.440,00","474.539.261,65","55.986.620,00","92.325.861,47","657.582.183,12"
2017,"28.523.830,00","512.834.436,00","76.491.480,00","175.036.292,00","792.886.038,00"
2018,"29.280.100,00","526.912.544,00","87.341.400,00","183.457.469,00","826.991.513,00"
2019,"15.788.400,00","541.334.160,00","100.020.440,00","235.965.000,00","893.108.000,00"
2020,"18.146.123,00","588.117.252,00","89.710.391,00","137.895.490,00","833.869.256,00"
2021,"24.762.745,00","599.623.786,00","114.693.200,00","154.888.324,00","893.968.055,00"
2022,"45.759.396,00","716.771.391,00","93.925.630,00","235.000,00","856.691.417,00"
2023,"107.644.868,00","893.918.600,00","130.815.775,00","196.551.987,00","1.328.931.230,00"
2024,"92.902.000,00","1.093.334.949,00","189.146.067,00","375.282.672,00","1.750.665.688,00"
2025,"93.625.300,00","1.174.858.274,00","228.540.128,00","232.757.640,77","1.729.781.342,77"